Name,SPDR S&P 500 ETF Trust (SPY),iShares Core S&P 500 ETF (IVV),Vanguard S&P 500 ETF (VOO),Vanguard Total Stock Market ETF (VTI),Invesco QQQ Trust Series I (QQQ),Vanguard FTSE Developed Markets ETF (VEA),Vanguard Growth ETF (VUG),iShares Core MSCI EAFE ETF (IEFA),Vanguard Value ETF (VTV),Vanguard Total Bond Market ETF (BND),iShares Core U.S. Aggregate Bond ETF (AGG),iShares Russell 1000 Growth ETF (IWF),iShares Core S&P Mid-Cap ETF (IJH),iShares Core S&P Small Cap ETF (IJR),Vanguard Dividend Appreciation ETF (VIG),Vanguard FTSE Emerging Markets ETF (VWO),iShares Core MSCI Emerging Markets ETF (IEMG),Vanguard Total International Stock ETF (VXUS),Vanguard Information Technology ETF (VGT),Technology Select Sector SPDR Fund (XLK)
Symbol,SPY,IVV,VOO,VTI,QQQ,VEA,VUG,IEFA,VTV,BND,AGG,IWF,IJH,IJR,VIG,VWO,IEMG,VXUS,VGT,XLK
Type,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF 
Jurisdiction,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
19900228,,,,,,,,,,,,,,,,,,,,
19900330,,,,,,,,,,,,,,,,,,,,
19900430,,,,,,,,,,,,,,,,,,,,
19900531,,,,,,,,,,,,,,,,,,,,
19900629,,,,,,,,,,,,,,,,,,,,
19900731,,,,,,,,,,,,,,,,,,,,
19900831,,,,,,,,,,,,,,,,,,,,
19900928,,,,,,,,,,,,,,,,,,,,
19901031,,,,,,,,,,,,,,,,,,,,
19901130,,,,,,,,,,,,,,,,,,,,
19901231,,,,,,,,,,,,,,,,,,,,
19910131,,,,,,,,,,,,,,,,,,,,
19910228,,,,,,,,,,,,,,,,,,,,
19910328,,,,,,,,,,,,,,,,,,,,
19910430,,,,,,,,,,,,,,,,,,,,
19910531,,,,,,,,,,,,,,,,,,,,
19910628,,,,,,,,,,,,,,,,,,,,
19910731,,,,,,,,,,,,,,,,,,,,
19910830,,,,,,,,,,,,,,,,,,,,
19910930,,,,,,,,,,,,,,,,,,,,
19911031,,,,,,,,,,,,,,,,,,,,
19911129,,,,,,,,,,,,,,,,,,,,
19911231,,,,,,,,,,,,,,,,,,,,
19920131,,,,,,,,,,,,,,,,,,,,
19920228,,,,,,,,,,,,,,,,,,,,
19920331,,,,,,,,,,,,,,,,,,,,
19920430,,,,,,,,,,,,,,,,,,,,
19920529,,,,,,,,,,,,,,,,,,,,
19920630,,,,,,,,,,,,,,,,,,,,
19920731,,,,,,,,,,,,,,,,,,,,
19920831,,,,,,,,,,,,,,,,,,,,
19920930,,,,,,,,,,,,,,,,,,,,
19921030,,,,,,,,,,,,,,,,,,,,
19921130,,,,,,,,,,,,,,,,,,,,
19921231,,,,,,,,,,,,,,,,,,,,
19930129,,,,,,,,,,,,,,,,,,,,
19930226,0.0106684744143024,,,,,,,,,,,,,,,,,,,
19930331,0.022399200979385,,,,,,,,,,,,,,,,,,,
19930430,-0.0255877019115214,,,,,,,,,,,,,,,,,,,
19930528,0.0269692092947382,,,,,,,,,,,,,,,,,,,
19930630,0.00360734781642424,,,,,,,,,,,,,,,,,,,
19930730,-0.00485410882769011,,,,,,,,,,,,,,,,,,,
19930831,0.0383279797972571,,,,,,,,,,,,,,,,,,,
19930930,-0.0072756311720098,,,,,,,,,,,,,,,,,,,
19931029,0.0197271515464816,,,,,,,,,,,,,,,,,,,
