date,name,return
19800829,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19800829,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19800829,PTL054 - Portland Focused Plus Fund LP Series P,missing
19800829,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19800829,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19800829,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19800829,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19800829,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19800930,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19800930,ALD400 - AA&A Global Equity Value Fund Series F,missing
19800930,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19800930,CCL951 - CC&L Absolute Return Fund Series F,missing
19800930,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19800930,CRY103 - Amethyst Arbitrage Fund Class F,missing
19800930,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19800930,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19800930,ECM100 - King & Victoria RSP Fund Class A Units,missing
19800930,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19800930,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19800930,KAI103 - KAI Core Equity Pool Class O,missing
19800930,KAI303 - KAI Core Listed Equity Pool Class O,missing
19800930,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19800930,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19800930,LWP214 - Lightwater Nimble Fund Class O,missing
19800930,MAJ263 - Northfront Equity Fund Series N,missing
19800930,MAJ364 - Evovest Global Equity Fund Series E,missing
19800930,MAJ603 - Limpid Global Fund Series S,missing
19800930,MAJ868 - TURN8 Alternative Fund Series T,missing
19800930,MBP109 - MFS Canadian Fixed Income Fund,missing
19800930,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19800930,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19800930,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19800930,PTL054 - Portland Focused Plus Fund LP Series P,missing
19800930,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19800930,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19800930,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19800930,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19800930,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19801031,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19801031,ALD400 - AA&A Global Equity Value Fund Series F,missing
19801031,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19801031,CCL951 - CC&L Absolute Return Fund Series F,missing
19801031,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19801031,CRY103 - Amethyst Arbitrage Fund Class F,missing
19801031,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19801031,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19801031,ECM100 - King & Victoria RSP Fund Class A Units,missing
19801031,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19801031,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19801031,KAI103 - KAI Core Equity Pool Class O,missing
19801031,KAI303 - KAI Core Listed Equity Pool Class O,missing
19801031,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19801031,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19801031,LWP214 - Lightwater Nimble Fund Class O,missing
19801031,MAJ263 - Northfront Equity Fund Series N,missing
19801031,MAJ364 - Evovest Global Equity Fund Series E,missing
19801031,MAJ603 - Limpid Global Fund Series S,missing
19801031,MAJ868 - TURN8 Alternative Fund Series T,missing
19801031,MBP109 - MFS Canadian Fixed Income Fund,missing
19801031,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19801031,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19801031,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19801031,PTL054 - Portland Focused Plus Fund LP Series P,missing
19801031,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19801031,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19801031,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19801031,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19801031,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19801128,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19801128,ALD400 - AA&A Global Equity Value Fund Series F,missing
19801128,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19801128,CCL951 - CC&L Absolute Return Fund Series F,missing
19801128,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19801128,CRY103 - Amethyst Arbitrage Fund Class F,missing
19801128,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19801128,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19801128,ECM100 - King & Victoria RSP Fund Class A Units,missing
19801128,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19801128,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19801128,KAI103 - KAI Core Equity Pool Class O,missing
19801128,KAI303 - KAI Core Listed Equity Pool Class O,missing
19801128,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19801128,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19801128,LWP214 - Lightwater Nimble Fund Class O,missing
19801128,MAJ263 - Northfront Equity Fund Series N,missing
19801128,MAJ364 - Evovest Global Equity Fund Series E,missing
19801128,MAJ603 - Limpid Global Fund Series S,missing
19801128,MAJ868 - TURN8 Alternative Fund Series T,missing
19801128,MBP109 - MFS Canadian Fixed Income Fund,missing
19801128,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19801128,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19801128,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19801128,PTL054 - Portland Focused Plus Fund LP Series P,missing
19801128,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19801128,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19801128,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19801128,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19801128,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19801231,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19801231,ALD400 - AA&A Global Equity Value Fund Series F,missing
19801231,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19801231,CCL951 - CC&L Absolute Return Fund Series F,missing
19801231,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
